"Ano/m�s processamento";"AM";"Total"
"Maio/2023";2752;2752
"Junho/2023";2990;2990
"Julho/2023";3149;3149
"Agosto/2023";2449;2449
"Setembro/2023";1600;1600
"Outubro/2023";1578;1578
"Novembro/2023";1663;1663
"Dezembro/2023";1342;1342
"Janeiro/2024";1262;1262
"Fevereiro/2024";1194;1194
"Mar�o/2024";1642;1642
"Abril/2024";2046;2046
"Maio/2024";2744;2744
"Junho/2024";2793;2793
"Julho/2024";2403;2403
"Agosto/2024";1862;1862
"Setembro/2024";1774;1774
"Outubro/2024";1668;1668
"Novembro/2024";1547;1547
"Dezembro/2024";1586;1586
"Janeiro/2025";1745;1745
"Fevereiro/2025";1339;1339
"Mar�o/2025";1698;1698